CloseTime;OpenPrice;HighPrice;LowPrice;ClosePrice;Volume;NA
2023-07-17 10:00:00;30276;30287;30166;30191;54.70707859;1653742.04489018
2023-07-17 11:00:00;30185;30214;29997;30177;168.49114303;5072471.09242918
2023-07-17 12:00:00;30172;30268;30160;30175;71.67908464;2165195.15472749
2023-07-17 13:00:00;30174;30211;30041;30211;128.86950254;3883466.26899052
2023-07-17 14:00:00;30213;30304;30168;30289;68.73943043;2078168.68766187
2023-07-17 15:00:00;30296;30308;30240;30276;48.49977287;1468244.85529638
2023-07-17 16:00:00;30291;30297;30121;30181;16.4927436;498141.71086925
2023-07-17 17:00:00;30182;30243;30083;30142;29.70426551;895584.62670207
2023-07-17 18:00:00;30140;30162;29937;30040;288.53150482;8679449.01708978
2023-07-17 19:00:00;30038;30070;29675;29813;316.76173172;9455315.50788202
2023-07-17 20:00:00;29812;29932;29765;29901;76.81770005;2294508.68972195
2023-07-17 21:00:00;29893;29990;29889;29937;66.25546439;1984276.41978316
2023-07-17 22:00:00;29936;30293;29935;30256;113.97609381;3435929.77335125
2023-07-17 23:00:00;30248;30270;30107;30107;49.58938393;1495701.01677741
2023-07-18 00:00:00;30110;30168;30081;30154;27.66187447;833498.4218979
2023-07-18 01:00:00;30144;30197;30117;30179;14.72829009;444231.12951911
2023-07-18 02:00:00;30169;30244;30150;30223;12.81279314;386928.25646141
2023-07-18 03:00:00;30221;30236;30116;30130;39.23830608;1183646.96615776
2023-07-18 04:00:00;30124;30157;30084;30084;12.1147733;364805.52487814
2023-07-18 05:00:00;30084;30123;30053;30123;15.10364386;454298.37664176
2023-07-18 06:00:00;30123;30123;30050;30054;10.54092846;317084.92200312
2023-07-18 07:00:00;30053;30096;29930;29990;95.81436673;2875997.27181446
2023-07-18 08:00:00;29989;30044;29940;29972;66.93222169;2008059.69739764
2023-07-18 09:00:00;29965;30105;29896;30025;117.13122891;3513209.24144223
2023-07-18 10:00:00;30039;30043;29952;29964;38.70283739;1161230.95659974
2023-07-18 11:00:00;29962;30027;29917;30000;39.62029489;1186682.01098401
